Hour,Primary Volume (Gallons Storage Temp),Primary Generation (Gallons Storage Temp),HW Demand (Gallons Storage Temp),HW Demand (Gallons Supply Temp),Recirculation Loss to Primary System (Gallons Supply Temp),Theoretical HW Generation (Gallons Supply Temp),Primary Run Time (Min),Input Capacity (kW),Output Capacity (kW),Primary COP,ON Setpoint Tank Volume (%),ON Setpoint Temperature (F),Actual Temperature at ON Setpoint (F),OFF Setpoint Tank Volume (%),OFF Setpoint Temperature (F),Actual Temperature at OFF Setpoint (F),Temperature at 100% Tank Volume (F),Temperature at 75% Tank Volume (F),Temperature at 50% Tank Volume (F),Temperature at 25% Tank Volume (F),Temperature at 0% Tank Volume (F),OAT (F),C02 Emissions (kG)
1060.0,2036.502,0,77.93350015859485,24.422,104.40141078663973,805.69,0.0,57.46405,114.78605625000002,1.9975281284559654,0.4,122,144.07347824824149,0.4,160,144.07347824824149,160,160,160,102.07347824824151,63.806,46.4,0.0
1061.0,1973.342,0,63.15919599265768,0.0,104.40141078663973,804.679,0.0,58.385650000000005,114.64205625000001,1.9635313857086458,0.4,122,138.17861995559343,0.4,160,138.17861995559343,160,160,160,96.17861995559346,63.806,44.96,0.0
1062.0,1836.312,0,137.03071125243108,122.109,104.40141078663973,802.139,0.0,60.872318750000005,114.28014999999999,1.8773746810819487,0.4,122,125.38908690536655,0.4,160,125.38908690536655,160,160,153.38908690536653,83.38908690536657,63.806,41.0,0.0
1063.0,1888.553,440.436,388.1938765034505,537.279,104.40141078663973,803.163,54.387601513701014,59.76805,114.42605624999999,1.914502083471018,0.4,122,130.26497986083342,0.4,160,130.26497986083342,160,160,158.26497986083342,88.2649798608334,63.806,42.8,26.451004392711337
1064.0,1823.727,485.885,550.7112111889345,805.918,104.40141078663973,803.163,60.0,59.76805,114.42605624999999,1.914502083471018,0.4,122,124.21455998449875,0.4,160,124.21455998449875,160,160,152.21455998449875,82.21455998449875,63.806,42.8,28.07139398370005
1065.0,1849.076,487.414,462.0653917632239,659.387,104.40141078663973,805.69,60.0,57.46405,114.78605625000002,1.9975281284559654,0.4,122,126.58042499083868,0.4,160,126.58042499083868,160,160,154.58042499083865,84.58042499083868,63.806,46.4,17.487434124497753
1066.0,1844.112,486.65,491.61400009509833,708.231,104.40141078663973,804.426,60.0,58.61605,114.60605625,1.9551992372396296,0.4,122,126.11708235139953,0.4,160,126.11708235139953,160,160,154.11708235139952,84.11708235139953,63.806,44.6,15.67975650550455
1067.0,2080.81,491.923,255.22514457992847,317.483,104.40141078663973,813.144,60.0,50.667249999999996,115.84805625,2.28644847016564,0.4,122,148.2089285501914,0.4,160,148.2089285501914,160,160,160,106.20892855019142,63.806,57.02,13.239901961993498
1068.0,2207.143,292.912,166.57931958430544,170.952,104.40141078663973,814.294,35.67608281156914,48.20005,116.0119625,2.4068846920283278,0.4,122,160.0,0.4,160,160.0,160,160,160,118.00000000000001,63.806,60.8,7.383795691896989
1069.0,2055.338,0,151.80501541836824,146.531,104.40141078663973,813.902,0.0,46.7384025,115.95614499999999,2.480960811615245,0.4,122,145.83153189428566,0.4,160,145.83153189428566,160,160,160,103.83153189428565,63.806,64.4,0.0
